Depotuebersicht Wertpapiere;;;;;;;;;;;;;;;;;;;;;;;
Shortcode;111111;;;;;;;;;;;;;;;;;;;;;;
User;RD111111;;;;;;;;;;;;;;;;;;;;;;
Datum;26.06.22 20:51:17;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Bestand;Name;ISIN;WKN;Typ;Datum;Zeit;Akt. Geldkurs;Akt. Geldkurs Currency;Boerse;Kaufkurs;Kaufkurs Currency;Kaufwert;Kaufwert Currency;Gesamtperformance;Gesamtperformance Currency;%;Tagesperformance;Tagesperformance Currency;%;Aktueller Wert;Aktueller Wert Currency;Wert;Wert Currency
150;AT&T RG;US00206R1023;A0HL9Z;Aktie;24.06.2022;21:52:27;19,9500;EUR;Berlin / Bremen;19,0282;EUR;2.854,24;EUR;138,26;EUR;4,84 %;54,30;EUR;1,85 %;2.992,50;EUR;2.992,50;EUR
400;AUMANN BR;DE000A2DAM03;A2DAM0;Aktie;24.06.2022;21:55:04;14,0800;EUR;Stuttgart;9,4800;EUR;3.792,00;EUR;1.840,00;EUR;48,52 %;-112,00;EUR;-1,95 %;5.632,00;EUR;5.632,00;EUR
122;BASF N;DE000BASF111;BASF11;Aktie;24.06.2022;21:55:07;42,4100;EUR;Stuttgart;64,4843;EUR;7.867,08;EUR;-2.693,06;EUR;-34,23 %;90,89;EUR;1,79 %;5.174,02;EUR;5.174,02;EUR
24;BERKSHIRE HATH RG-B;US0846707026;A0YJQ2;Aktie;24.06.2022;21:30:49;263,4500;EUR;Muenchen;191,6213;EUR;4.598,91;EUR;1.723,89;EUR;37,48 %;226,80;EUR;3,72 %;6.322,80;EUR;6.322,80;EUR
24;BMW BR;DE0005190003;519000;Aktie;24.06.2022;21:55:07;75,1700;EUR;Stuttgart;82,4432;EUR;1.978,64;EUR;-174,56;EUR;-8,82 %;-6,72;EUR;-0,37 %;1.804,08;EUR;1.804,08;EUR
300;GOLD/DTBCOMM;DE000A0S9GB0;A0S9GB;ETF;24.06.2022;21:55:15;55,5900;EUR;Stuttgart;36,6226;EUR;10.986,77;EUR;5.690,23;EUR;51,79 %;-54,00;EUR;-0,32 %;16.677,00;EUR;16.677,00;EUR
80;GRENKE N;DE000A161N30;A161N3;Aktie;24.06.2022;21:55:06;24,2200;EUR;Stuttgart;38,7900;EUR;3.103,20;EUR;-1.165,60;EUR;-37,56 %;30,40;EUR;1,59 %;1.937,60;EUR;1.937,60;EUR
40;HELVETIA HLDG RG;CH0466642201;A2PKFK;Aktie;18.05.2022;18:50:18;0,0000;CHF;Eurex Deutschland;77,6000;EUR;3.104,00;EUR;1.259,28;EUR;40,57 %;0,00;CHF;0,00 %;4.363,28;EUR;0,00;CHF
100;HSBC FTSE 100 GBP;IE00B42TW061;A0N9WS;ETF;24.06.2022;21:55:30;84,2600;EUR;Stuttgart;65,3900;EUR;6.539,00;EUR;1.887,00;EUR;28,86 %;244,00;EUR;2,98 %;8.426,00;EUR;8.426,00;EUR
20;IBM RG;US4592001014;851399;Aktie;24.06.2022;21:52:34;134,9000;EUR;Frankfurt;128,4658;EUR;2.569,32;EUR;128,68;EUR;5,01 %;79,20;EUR;3,02 %;2.698,00;EUR;2.698,00;EUR
